,.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
.,147549,2,3,0,0,0,0,0,0,2,1,8
ADJ,3,75971,86,1954,6,18,4286,27,8,77,1255,30
ADP,15,113,142073,1024,108,274,56,4,114,823,140,22
ADV,0,1343,858,52862,49,245,408,3,5,220,236,10
CONJ,0,11,139,178,37754,39,10,0,3,2,14,1
DET,0,52,343,81,36,136144,41,12,290,5,13,2
NOUN,3,4209,90,490,13,47,266134,251,86,326,3652,257
NUM,0,341,11,24,2,22,1888,12484,0,27,28,47
PRON,1,7,243,17,3,352,45,0,48644,15,3,4
PRT,0,70,1203,317,3,3,191,0,4,27938,97,3
VERB,0,978,205,149,15,3,2810,11,6,108,178449,16
X,21,80,24,16,5,20,583,6,8,21,48,554
