,.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
.,15954195,94,267,0,0,0,841,0,0,0,0,813
ADJ,0,9088220,10980,220233,1172,4709,580609,4069,995,7494,128263,4451
ADP,1595,10279,16676723,104323,14791,35186,6265,538,14464,90038,12838,5286
ADV,0,154992,111640,5694765,8222,27025,48704,953,861,21280,18189,875
CONJ,0,338,11642,19911,4284202,2587,1877,179,654,311,849,570
DET,0,6129,35083,11219,4484,15692565,4685,535,24827,1483,495,239
NOUN,204,490431,11190,68443,1053,7511,32291959,23189,8074,31186,418989,21951
NUM,0,46433,1455,3820,0,2076,248778,1591321,137,3868,6861,9604
PRON,0,1316,28106,1426,171,30186,5656,114,4574343,635,1061,140
PRT,0,6141,131095,32239,251,1150,10796,49,271,2908600,6480,409
VERB,0,117286,22947,16323,1004,1986,340059,882,1083,9866,19621572,1565
X,1374,7720,2214,1488,534,2537,68156,981,747,2458,6123,64138
