,.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
.,3878625,0,145,0,0,0,0,0,0,0,0,126
ADJ,28,2351914,2610,42574,18,39,79490,146,14,1492,13538,273
ADP,426,1501,4357310,30424,2763,4814,386,25,2506,78295,1784,258
ADV,2,42387,52170,1458031,1046,6722,3714,45,87,7544,3326,140
CONJ,0,0,236,4482,1177730,929,173,0,0,0,60,14
DET,3,32,17387,786,1244,4036561,607,54,3702,37,5,105
NOUN,39,79857,2023,2723,61,898,7920420,9085,328,1438,56137,3562
NUM,83,1723,43,97,9,41,11066,407659,18,36,234,194
PRON,0,97,22370,229,3,17481,228,7,1240865,158,89,72
PRT,19,8909,86166,6689,2,49,1038,8,13,718148,1231,27
VERB,13,10642,1915,1384,8,16,42945,48,35,822,4990651,290
X,299,591,583,209,163,514,6793,3,210,181,1062,34002
